Champ,Référence,Code Critère,Critères,% Estimation,Remarques,Preuves
R2,R2.2,R2.2.3,"Mise en œuvre et évaluation des partenariats",0%,"Aucun suivi formalisé",
R2,R2.2,R2.2.4,"Association des partenaires aux manifestations",20%,"Tres peux partenaires",/
R2,R2.2,R2.2.5,"Encouragement à la mobilité nationale des chercheurs",60%,"Soutenances à Oran/Tlemcen • Taux de participation : 3.3%",
R2,R2.3,R2.3.1,"Conventions et projets de recherche internationaux",90%,"Majorité des collaborations via PFE",
R2,R2.3,R2.3.2,"Co-organisation de manifestations internationales",70%,"Manifestations occasionnelles avec partenaires",
R2,R2.3,R2.3.3,"Mobilité internationale des chercheurs",80%,"Oui il y a une mobilité des chercheurs notament en france",/
R2,R2.3,R2.3.4,"Réalisation de travaux avec chercheurs internationaux",50%,"Aucun projet au-delà des PFE",
R2,R2.3,R2.3.5,"Évaluation des partenariats internationaux",30%,"Liste d'établissements bannis disponible",
R2,R2.4,R2.4.1,"Établissement d'une politique de communication scientifique",0%,"Aucune règle pour les publications",
R2,R2.4,R2.4.4,"Publication via divers supports (site web, revues)",,"Publications absentes du site ESI","Site officiel ESI"
R3,R3.1,R3.1.1,"Intégration des résultats de recherche dans les formations",60%,"Processus long pour intégrer les innovations",
R3,R3.1,R3.1.2,"Organisation de formations spécialisées",30%,"Les formations sont rares",/
R3,R3.1,R3.1.3,"Mécanismes de valorisation et transfert technologique",35%,"Collaborations rares et non structurées",
R3,R3.3,R3.3.1,"Actions de vulgarisation auprès du grand public",20%,"Publications sur sites spécialisés • Pas de réseaux sociaux","Site web ESI et plateformes externes"
R3,R3.3,R3.3.2,"Utilisation des réseaux sociaux pour la diffusion scientifique",10%,"Aucun canal de diffusion social",
R3,R3.3,R3.3.3,"Opportunités pour étudiants de découvrir la recherche",20%,"Pas de stratégie dédiée",
R3,R3.3,R3.3.4,"Organisation d'activités de diffusion des travaux de recherche",5%,"Activités rare pour étudiants",
